Timestamp,Date,Time,AM/PM,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions
8/28/2022 12:52,8/28/2022,12:52:00 PM,PM,23,Apple Music,1,No,No,No,Rap,No,Yes,140,Sometimes,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Never,Never,Never,Sometimes,Rarely,Rarely,Very frequently,Very frequently,Rarely,10,6,3,10,No effect,I understand.
8/28/2022 12:53,8/28/2022,12:53:00 PM,PM,23,Spotify,12,Yes,No,No,Pop,Yes,Yes,96,Very frequently,Rarely,Never,Very frequently,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,Rarely,Rarely,Never,3,7,5,5,No effect,I understand.
8/28/2022 12:54,8/28/2022,12:54:00 PM,PM,22,Spotify,4,Yes,No,Yes,Rock,Yes,Yes,126,Rarely,Never,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Very frequently,Rarely,8,7,4,3,Improve,I understand.
8/28/2022 13:01,8/28/2022,1:01:00 AM,PM,16,Apple Music,2,Yes,Yes,No,Classical,Yes,No,,Very frequently,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,0,0,1,3,Improve,I understand.
8/28/2022 13:05,8/28/2022,1:05:00 AM,PM,18,Spotify,6,Yes,No,No,Rock,Yes,No,91,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Never,8,6,2,10,No effect,I understand.
8/28/2022 13:08,8/28/2022,1:08:00 AM,PM,42,I do not use a streaming service.,0,,No,No,Rock,No,Yes,,Rarely,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,9,0,10,0,No effect,I understand.
8/28/2022 13:09,8/28/2022,1:09:00 AM,PM,23,Spotify,7,Yes,No,No,Folk,Yes,Yes,55,Rarely,Very frequently,Never,Very frequently,Very frequently,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,6,4,2,3,Improve,I understand.
8/28/2022 13:18,8/28/2022,1:18:00 AM,PM,23,I do not use a streaming service.,1,Yes,Yes,No,Video game music,No,No,85,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,7,0,0,2,Improve,I understand.
8/28/2022 13:22,8/28/2022,1:22:00 AM,PM,19,YouTube Music,1,No,Yes,No,K pop,Yes,Yes,160,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Never,Never,Never,Never,Never,Never,Rarely,10,1,0,0,Improve,I understand.
8/28/2022 13:22,8/28/2022,1:22:00 AM,PM,22,Pandora,1,No,Yes,No,Rock,Yes,No,108,Rarely,Never,Sometimes,Rarely,Never,Never,Very frequently,Never,Never,Never,Never,Sometimes,Rarely,Never,Very frequently,Rarely,8,7,0,5,Improve,I understand.
8/28/2022 13:34,8/28/2022,1:34:00 AM,PM,15,Other streaming service,2,Yes,Yes,No,Rock,No,No,156,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Never,Very frequently,Sometimes,3,2,6,7,Improve,I understand.
8/28/2022 13:34,8/28/2022,1:34:00 AM,PM,25,Spotify,2,No,No,No,Metal,No,Yes,170,Rarely,Rarely,Rarely,Sometimes,Never,Rarely,Never,Rarely,Never,Rarely,Very frequently,Sometimes,Never,Rarely,Very frequently,Very frequently,5,5,3,1,No effect,I understand.
8/28/2022 13:42,8/28/2022,1:42:00 AM,PM,32,Spotify,5,Yes,No,No,Rock,No,Yes,91,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Never,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,Never,10,10,3,1,Worsen,I understand.
8/28/2022 13:43,8/28/2022,1:43:00 AM,PM,36,Spotify,6,Yes,No,No,Metal,Yes,Yes,174,Very frequently,Never,Rarely,Very frequently,Never,Never,Never,Sometimes,Never,Rarely,Very frequently,Rarely,Never,Never,Sometimes,Very frequently,5,4,10,2,Improve,I understand.
8/28/2022 13:46,8/28/2022,1:46:00 AM,PM,24,Spotify,3,No,No,No,Rock,Yes,Yes,130,Sometimes,Sometimes,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Very frequently,Very frequently,Never,Never,Very frequently,Never,0,0,8,0,No effect,I understand.
8/28/2022 13:48,8/28/2022,1:48:00 AM,PM,29,Spotify,4,No,No,No,Hip hop,Yes,No,140,Rarely,Sometimes,Rarely,Never,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,8,8,5,10,Improve,I understand.
8/28/2022 13:55,8/28/2022,1:55:00 AM,PM,41,Apple Music,3,Yes,Yes,Yes,Metal,Yes,Yes,130,Sometimes,Never,Sometimes,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Never,10,7,8,0,Improve,I understand.
8/28/2022 13:57,8/28/2022,1:57:00 AM,PM,36,I do not use a streaming service.,2,Yes,Yes,Yes,Rock,Yes,No,127,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,Never,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,7,3,1,1,Improve,I understand.
8/28/2022 13:59,8/28/2022,1:59:00 AM,PM,19,YouTube Music,3,Yes,No,No,Rock,Yes,No,160,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Rarely,8,7,4,0,Improve,I understand.
8/28/2022 14:00,8/28/2022,2:00:00 AM,PM,31,Spotify,2,Yes,No,No,Rock,Yes,Yes,,Never,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Never,Sometimes,Very frequently,Never,Never,Very frequently,Never,10,2,0,5,No effect,I understand.
8/28/2022 14:01,8/28/2022,2:01:00 AM,PM,16,Spotify,4,Yes,No,No,Rock,No,Yes,,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Very frequently,9,8,1,2,Improve,I understand.
8/28/2022 14:02,8/28/2022,2:02:00 AM,PM,26,Spotify,2,Yes,Yes,Yes,Hip hop,Yes,Yes,165,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Rarely,6,3,1,1,Improve,I understand.
8/28/2022 14:04,8/28/2022,2:04:00 AM,PM,22,Apple Music,0.5,No,No,No,Hip hop,No,No,113,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Never,7,7,0,1,No effect,I understand.
8/28/2022 14:04,8/28/2022,2:04:00 AM,PM,16,Spotify,5,Yes,Yes,Yes,Jazz,Yes,Yes,167,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Sometimes,Never,7,7,8,4,Improve,I understand.
8/28/2022 14:07,8/28/2022,2:07:00 AM,PM,17,Spotify,5,Yes,No,No,Metal,Yes,Yes,95,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Sometimes,4,1,0,0,Improve,I understand.
8/28/2022 14:08,8/28/2022,2:08:00 AM,PM,19,Spotify,10,Yes,No,No,R&B,Yes,Yes,110,Never,Rarely,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Never,7,2,1,5,Improve,I understand.
8/28/2022 14:10,8/28/2022,2:10:00 AM,PM,18,YouTube Music,2,No,No,No,EDM,No,Yes,150,Sometimes,Rarely,Very frequently,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Rarely,Sometimes,Rarely,Very frequently,9,0,5,10,Improve,I understand.
8/28/2022 14:10,8/28/2022,2:10:00 AM,PM,18,YouTube Music,4,Yes,No,No,Hip hop,Yes,Yes,93,Never,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,2,7,1,1,Improve,I understand.
8/28/2022 14:12,8/28/2022,2:12:00 AM,PM,19,Spotify,5,No,Yes,Yes,Rock,Yes,Yes,90,Rarely,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Rarely,10,8,7,0,Improve,I understand.
8/28/2022 14:14,8/28/2022,2:14:00 AM,PM,19,Spotify,3,Yes,No,No,Jazz,Yes,No,118,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Never,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,3,0,0,0,Improve,I understand.
8/28/2022 14:18,8/28/2022,2:18:00 AM,PM,22,Spotify,2,Yes,No,No,K pop,Yes,Yes,126,Never,Never,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Sometimes,Never,Sometimes,Very frequently,Rarely,7,8,5,1,No effect,I understand.
8/28/2022 14:24,8/28/2022,2:24:00 AM,PM,16,Spotify,2.5,Yes,Yes,Yes,Rock,Yes,Yes,103,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,Never,Very frequently,Rarely,2,1,0,0,Improve,I understand.
8/28/2022 14:25,8/28/2022,2:25:00 AM,PM,19,Spotify,3,Yes,No,No,R&B,Yes,Yes,77,Rarely,Never,Sometimes,Never,Never,Very frequently,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,5,4,0,1,Improve,I understand.
8/28/2022 14:26,8/28/2022,2:26:00 AM,PM,37,Spotify,1,Yes,No,No,Rock,No,No,115,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,9,10,6,10,No effect,I understand.
8/28/2022 14:29,8/28/2022,2:29:00 AM,PM,14,Spotify,7,Yes,Yes,No,Jazz,No,No,110,Rarely,Never,Very frequently,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Sometimes,Never,Never,Very frequently,Very frequently,2,0,0,0,Improve,I understand.
8/28/2022 14:30,8/28/2022,2:30:00 AM,PM,33,I do not use a streaming service.,1,No,No,No,Metal,No,Yes,,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Rarely,Never,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,5,2,5,1,Improve,I understand.
